Ticker,변동성,평균 주간 수익률
A072020,0.172805733,0.003006888
A072520,0.455943928,0.009302954
A072710,0.244226239,-0.002231009
A073190,0.160019849,0.004280556
A073240,0.36306518,0.000773021
A073560,0.147069393,-0.118965517
A073640,0.366185367,0.006165344
A074150,,
A075970,0.159670903,0.004634415
A076080,0.228899503,0.004200775
A077970,0.333738867,0.004527644
A078020,0.279109328,-0.000702743
A078070,0.746141665,0.007601666
A078130,0.954587812,0.014535175
A078150,0.285394207,0.002978602
A078650,0.619736359,-0.002098066
A078860,0.455479412,-0.001746859
A078930,0.183082067,-0.000577083
A079370,0.211918449,0.005132675
A079430,0.304022394,-0.000837108
A079440,,
A079660,,
A079940,0.356980587,0.004091773
A080000,0.241923724,0.001630837
A080220,0.208771533,0.000990735
A080420,0.243402593,0.001105434
A080530,0.58990104,-0.003100074
A082740,0.330794278,0.008457607
A082850,0.684415332,0.007311411
A082920,0.182065313,0.003150913
A083310,0.259384209,0.005766049
A083450,0.479064749,0.006604372
A083550,0.4552905,0.007083312
A083930,0.171705415,0.004522926
A084670,0.064054295,9.61485E-05
A084730,0.222785935,0.002565853
A084870,0.569248615,-0.004200186
A085910,0.136944635,-0.00030481
A086790,0.22586044,0.002679296
A087220,,
A088290,0.981267231,0.013169788
A089010,0.473969522,0.008569743
A089030,0.242015398,0.005892734
A089140,0.40349247,0.004289245
A089590,0.278184163,-0.00062006
A090350,0.164940987,0.000961699
A090370,0.946557099,-0.004883088
A091160,0.172125884,0.00355093
A091180,0.116626344,0.001487904
A091990,0.330907621,-0.00198917
A092040,0.248857653,0.002892845
A092780,0.156845886,-0.045407637
A093370,0.211661834,0.005404858
A093380,0.154188697,0.00180588
A093640,0.323118857,0.001087496
A094360,0.259026481,0.006846332
A094820,0.140416844,0.002079295
A094840,0.255255811,-0.00127872
A095190,0.288933822,0.004927422
A095610,0.311168206,0.006609254
A096040,0.611840574,-0.000857544
A096530,1.155659724,0.00912621
A096630,0.221373352,0.005321178
A096760,0.262397857,0.000212758
A097870,0.260957454,0.000724047
A097950,0.149620893,0.000723369
A098120,0.319340274,0.0026558
A098460,0.297420085,0.004992015
A099140,0.104368752,0.001177471
A100030,0.408549487,0.003829998
A100590,0.140435303,0.352564103
A100840,0.188957784,-0.001053452
A101170,0.317615366,0.003500329
A101280,0.10503512,0.001602482
A101360,1.356342649,0.021237155
A101670,0.247696212,0.002152426
A102120,0.274011001,0.006707426
A102210,,
A103140,0.286423082,0.001459424
A103230,0.683419092,0.003744374
A103840,0.170207663,0.009687836
A104040,0.402355436,0.007574848
A104110,,
A104200,0.296466126,-0.001730082
A104520,0.091708556,0.001665588
A104540,0.391151032,0.001182208
A105330,0.251052158,0.003826661
A106520,1.057169697,-0.005270178
A108230,0.405987271,0.002963111
A108675,0.401535248,-0.002883921
A109080,0.114795279,0.002672391
A109740,0.391352638,0.006889003
A109960,0.556764696,-0.00099903
A110020,0.386037568,-0.196103454
A110570,,
A111710,0.245981634,-0.26091954
A111820,0.549341333,-0.003699635
A111870,0.321496859,0.004085417
A112240,,
A114450,0.423382367,0.009880037
A115390,0.288975519,0.000799995
A115450,0.305493646,0.005667114
A115570,0.207404579,8.39914E-05
A115610,0.368872583,-0.000742107
A117700,0.116820355,0.001377863
A119650,0.247106511,0.004957658
A119830,0.44202063,0.005671847
A121850,0.558919655,0.000502404
A122630,0.207921996,0.004788746
A122690,0.414076554,-0.00091408
A123010,0.337783921,0.007640723
A123040,0.339766123,0.007633058
A123100,,
A123310,0.122309989,-0.00224268
A123750,0.444414375,-0.000314184
A123840,0.45813168,0.002685011
A123860,0.2862066,0.005187292
A126340,0.919569162,0.014112121
A126640,0.172052985,0.002090935
A126870,0.306900795,0.00219789
A127120,0.621999945,0.003987388
A128820,0.240879283,0.002564897
A130500,0.347827589,0.007278721
A130740,0.224423906,0.000881206
A131100,0.641842151,0.000421912
A131290,0.725205684,0.009723324
A131390,0.387972652,0.0060442
A131890,0.152730832,0.002344271
A133690,0.305077016,0.00417265
A134060,0.358306009,0.004564292
A136480,0.204725856,0.000491619
A137950,0.227398193,0.005901615
A138070,0.333116556,-0.00333508
A138250,0.219964355,-0.000132381
A138360,0.319528538,0.001987768
A139050,0.5812284,0.002490506
A139220,0.132720099,0.000898682
A139250,0.142345401,0.002541746
A139270,0.143768258,0.000992586
A139280,0.115360582,0.000112311
A139480,0.282982574,0.000102654
A139670,0.888222176,0.014481316
A140520,0.260060263,0.001587343
A140670,0.384755229,-0.051612903
A140710,0.124433644,0.002285442
A140860,0.455857284,0.010650503
A141070,0.338770052,0.003108329
A141080,0.48460483,0.010526041
A142220,,
A143850,0.155477165,0.002808307
A144960,0.269165483,-0.074712644
A145730,,
A145995,0.207294469,0.000643341
A147830,0.370371998,0.005806318
A149940,,
A150840,0.567624319,0.004638084
A152100,0.120606401,0.002677786
A152280,,
A153460,0.228091874,0.002906941
A153760,,
A154030,0.229587909,0.004708127
A155660,0.398423419,0.005550901
A155960,,
A157500,0.125840332,0.002107075
A158320,,
A159910,0.548081138,-0.003993789
A161000,0.324221743,0.003848134
A161890,0.255308755,-0.001192122
A168300,0.138731729,0.003085591
A169830,,
A169950,0.170678752,0.002414062
A170900,0.18186723,-0.000959702
A170920,0.148207437,0.002424857
A171090,0.373178859,-0.180277749
A173130,0.421323719,0
A174360,0.163966576,0.00213191
A178320,0.39449657,0.023478971
A178780,0.538675525,0.001766452
